C alpha,L alpha,GE alpha,SW alpha,Q alpha,C beta,L beta,GE beta,SW beta,Q beta,C delta,L delta,GE delta,SW delta,Q delta,C gamma,L gamma,GE gamma,SW gamma,Q gamma,C theta,L theta,GE theta,SW theta,Q theta,Class
0.022397,1.8675,0.58677,0.90598,0.17371,0.0083575,1.8624,0.58749,0.89895,0.22964,0.023475,1.8293,0.59305,0.92598,0.21491,0.053127,1.8428,0.59086,0.90066,0.17892,0.023471,1.8819,0.57721,0.97097,0.16628,2
0.024182,1.8419,0.59092,0.95955,0.20901,0.015494,1.8426,0.5908,1.0433,0.27292,0.071764,1.8674,0.58664,1.0692,0.21586,0.071579,1.818,0.59495,1.0357,0.20206,0.030121,1.8148,0.59548,1.0377,0.22298,2
0.028313,1.8688,0.57936,1.008,0.22218,0.010903,1.8654,0.58699,1.061,0.22168,0.02568,1.9049,0.58038,1.0619,0.2674,0.059291,1.83,0.59294,1.0643,0.19424,0.024467,1.8528,0.5891,1.0963,0.22516,2
0.037877,1.9195,0.57119,0.95153,0.18499,0.044073,1.8661,0.566,0.94141,0.16509,0.031592,1.8911,0.58267,0.97534,0.23428,0.066033,1.8188,0.59482,1.1665,0.24396,0.0466,1.9442,0.5742,0.989,0.18765,2
0.038891,1.9363,0.56857,1.0726,0.24063,0.011067,1.8154,0.59537,1.0287,0.21204,0.028685,1.8531,0.58904,0.97932,0.2342,0.064898,1.8245,0.59386,1.0362,0.19419,0.023653,1.8379,0.59159,0.98058,0.21591,2
0.016241,1.8035,0.59738,0.9971,0.19175,0.014367,1.8366,0.59181,1.056,0.22629,0.021405,1.8109,0.59613,0.99806,0.21261,0.066899,1.8067,0.59685,0.97624,0.18062,0.025985,1.8261,0.59358,1.0981,0.23341,2
0.017809,1.8575,0.58831,0.94016,0.19926,0.040426,1.8254,0.53814,0.86222,0.12786,0.023781,1.8463,0.59018,0.99558,0.18942,0.052105,1.8142,0.59559,0.98768,0.18839,0.024821,1.8445,0.59049,1.0081,0.19831,2
0.063988,1.8893,0.51519,0.6832,0.1327,0.011653,1.8475,0.59,1.0422,0.22278,0.064497,1.931,0.53648,0.83277,0.13778,0.065773,1.8436,0.59066,0.99922,0.18938,0.040681,1.9515,0.56617,0.70321,0.15656,2
0.021017,1.824,0.59394,1.0019,0.21915,0.017449,1.8146,0.59551,1.1095,0.21361,0.056654,1.8952,0.54769,0.85686,0.14688,0.065528,1.8131,0.59577,1.0858,0.18396,0.026438,1.8299,0.59293,0.87816,0.17609,2
0.021784,1.8781,0.58487,0.97533,0.24392,0.010623,1.8758,0.58525,0.85971,0.20034,0.020621,1.8331,0.5924,0.89536,0.23014,0.05742,1.8304,0.59286,1.0262,0.21638,0.022154,1.8221,0.59425,1.1603,0.26693,2
0.018186,1.8618,0.58759,1.0111,0.25209,0.00906,1.8357,0.59197,0.9641,0.21846,0.045299,1.8939,0.58237,0.64422,0.17858,0.058926,1.8155,0.59538,1.0069,0.19873,0.021599,1.8728,0.58589,1.1113,0.25745,2
0.042055,1.9116,0.49288,0.63083,0.1543,0.022958,1.8404,0.57701,1.0158,0.1711,0.019553,1.8594,0.58798,0.86229,0.23851,0.082222,1.8513,0.58939,1.0946,0.21687,0.035728,1.8787,0.55701,1.0247,0.20948,3
0.025333,1.8234,0.59403,0.96227,0.23151,0.017197,1.838,0.59158,1.1126,0.23536,0.048543,1.8963,0.5758,0.71877,0.17559,0.077841,1.8333,0.5924,0.98212,0.18382,0.03288,1.8591,0.58807,0.87698,0.17609,3
0.017153,1.8438,0.5906,1.0864,0.21724,0.013432,1.8383,0.59153,1.1896,0.26726,0.019518,1.8499,0.58958,0.95371,0.2154,0.052632,1.8353,0.59205,0.92781,0.1861,0.023758,1.8666,0.58679,1.1522,0.25695,3
0.030869,1.8625,0.58749,1.0323,0.20673,0.012093,1.8321,0.59257,1.1404,0.26092,0.025951,1.8787,0.58474,1.1383,0.26887,0.057425,1.8068,0.58965,1.137,0.21725,0.032463,1.8443,0.59053,1.1912,0.20144,3
0.03288,1.9197,0.57795,0.91678,0.17599,0.017355,1.8754,0.58533,1.0374,0.1999,0.069972,1.8607,0.56722,1.2113,0.16952,0.060854,1.8124,0.58871,1.043,0.20199,0.061982,1.9433,0.57406,1.0454,0.13199,3
0.038707,1.8945,0.58215,1.1268,0.23004,0.029421,1.9681,0.55047,1.111,0.21419,0.025828,1.8378,0.59161,1.1972,0.23425,0.059237,1.8409,0.59112,1.0284,0.19178,0.049208,2.0164,0.55622,0.89999,0.15915,3
0.029258,1.907,0.57305,1.0836,0.31465,0.0096701,1.8422,0.59087,1.0434,0.2308,0.027949,1.8486,0.58981,1.0011,0.20827,0.068088,1.8263,0.59355,1.1178,0.23195,0.037108,1.9373,0.57499,1.1577,0.24509,3
0.012647,1.8401,0.58411,0.85795,0.18967,0.0090083,1.8499,0.58959,1.105,0.28547,0.042912,1.9163,0.56495,0.87134,0.27738,0.074547,1.8557,0.58863,1.1339,0.25267,0.029986,1.9088,0.58001,1.2894,0.29925,3
0.014795,1.9049,0.58042,0.83917,0.26829,0.011226,1.8346,0.59215,1.0323,0.2227,0.024654,1.8857,0.58362,0.77532,0.21068,0.061473,1.8275,0.59335,0.98135,0.15399,0.02054,1.925,0.57067,0.93621,0.21738,3
0.017686,1.8382,0.59155,0.91824,0.1934,0.012025,1.84,0.59124,0.9095,0.17098,0.02838,1.8262,0.59355,1.0431,0.19672,0.063782,1.8188,0.59482,0.99398,0.17401,0.020647,1.8288,0.59313,0.93974,0.22127,3
0.031304,1.874,0.58555,0.7756,0.18806,0.021949,1.8059,0.59697,0.88432,0.15629,0.039456,1.8808,0.58445,0.88617,0.20333,0.080238,1.8167,0.59516,1.0065,0.16384,0.042979,1.8926,0.58248,1.1509,0.26942,3
0.027331,1.9097,0.53209,0.92464,0.18157,0.0092811,1.8597,0.58794,0.87429,0.17823,0.02638,1.9345,0.57546,0.80511,0.18404,0.054279,1.814,0.59562,0.98813,0.16285,0.048324,2.0058,0.55161,1.0445,0.22581,3
0.023712,1.8441,0.59056,0.93218,0.25184,0.015729,1.8199,0.59463,0.99835,0.19421,0.02279,1.9701,0.56305,0.67156,0.17853,0.06144,1.8068,0.59683,1.0781,0.19076,0.032289,1.8914,0.58265,1.2871,0.29525,3
0.02257,1.8205,0.59452,1.0673,0.24621,0.013287,1.8419,0.59097,0.96437,0.17441,0.047748,1.8716,0.58595,0.89096,0.18155,0.068944,1.8196,0.59469,0.98865,0.1729,0.027608,1.8518,0.58929,0.78643,0.20472,3
0.038675,1.8449,0.59043,1.0736,0.23672,0.012203,1.8274,0.59336,0.98269,0.18826,0.063087,1.8621,0.58059,0.80839,0.16454,0.065123,1.8193,0.59473,0.95145,0.16001,0.096865,1.8445,0.5905,1.0109,0.19227,3
0.017352,1.8965,0.58178,0.8379,0.2233,0.029711,1.8323,0.56435,0.92377,0.12962,0.033679,1.8743,0.5856,0.97147,0.2136,0.064058,1.8137,0.59567,1.0533,0.16813,0.033452,1.8489,0.58975,1.0178,0.21409,3
0.049091,1.9091,0.56681,0.92103,0.16269,0.016851,1.8351,0.59206,1.0506,0.21172,0.052038,1.8739,0.58559,0.94455,0.15231,0.084044,1.8356,0.59201,1.1501,0.21279,0.030577,1.845,0.5904,1.0746,0.26616,3
0.016646,1.8399,0.58415,1.0154,0.25191,0.029976,1.9275,0.5578,0.59146,0.10042,0.023927,1.842,0.59091,1.2509,0.30175,0.055916,1.8106,0.59619,1.0966,0.20313,0.023777,1.8366,0.59182,1.2816,0.29649,3
0.02114,1.9024,0.58082,1.0628,0.26703,0.024177,1.8553,0.57458,0.8429,0.18921,0.029258,1.883,0.58404,1.119,0.28136,0.10645,1.843,0.59077,1.045,0.18479,0.030269,1.9059,0.58027,1.0528,0.24103,3
0.049452,1.9368,0.52228,0.86192,0.23038,0.016225,1.8589,0.58808,1.0479,0.19303,0.066943,1.911,0.55904,1.0362,0.13843,0.067831,1.8104,0.59623,1.0225,0.15293,0.10015,1.8178,0.58784,1.1964,0.15756,3
0.027879,1.8748,0.5854,1.0479,0.24438,0.011216,1.8396,0.59131,0.9883,0.20022,0.052081,1.8842,0.57,0.76484,0.19678,0.05231,1.8089,0.59648,0.99169,0.16493,0.059754,2.0132,0.53698,0.85934,0.19973,3
0.030025,1.9456,0.56691,0.8707,0.21371,0.013566,1.8354,0.59201,0.98697,0.18571,0.029918,1.8769,0.58515,0.75411,0.19531,0.07259,1.844,0.59058,1.0528,0.16291,0.02013,1.8752,0.58551,0.87342,0.2129,3
0.029059,1.894,0.58218,0.9651,0.1756,0.015606,1.8641,0.58721,1.0022,0.17532,0.069321,1.8762,0.56443,0.7682,0.18357,0.052758,1.8227,0.59417,0.99428,0.16274,0.030953,1.8476,0.58999,1.1235,0.20198,3
0.047502,1.926,0.5103,0.96035,0.18764,0.011842,1.8988,0.58141,1.0091,0.24487,0.058392,1.8636,0.56662,0.83875,0.14404,0.086662,1.8849,0.58378,1.0558,0.2117,0.031686,1.8823,0.56325,0.91883,0.1682,3
0.031521,1.8414,0.591,0.99235,0.20804,0.014944,1.8342,0.59221,1.065,0.20004,0.077913,1.8105,0.46199,0.82189,0.17608,0.064869,1.8161,0.59527,0.94339,0.16402,0.022796,1.8292,0.59306,0.9856,0.2292,3
0.03701,1.854,0.58893,0.84243,0.23029,0.013105,1.823,0.5941,1.1796,0.21721,0.027472,1.8652,0.58704,1.0183,0.2059,0.059295,1.8061,0.59695,1.0558,0.17491,0.021849,1.8608,0.58775,0.96052,0.19169,3
0.015294,1.8467,0.59012,0.92134,0.20969,0.0076905,1.8119,0.59597,0.99931,0.18531,0.044383,1.8711,0.5652,0.78658,0.16595,0.04694,1.7965,0.59856,0.99412,0.15136,0.019686,1.8639,0.58728,0.98643,0.20561,3
0.016201,1.8414,0.59101,0.83647,0.16578,0.010426,1.8076,0.59669,1.056,0.18366,0.03083,1.883,0.58412,0.91132,0.19145,0.075541,1.8194,0.59472,1.0225,0.15171,0.027702,1.8972,0.58172,0.81349,0.19057,3
0.021477,1.8828,0.57013,0.8103,0.19537,0.01136,1.8477,0.5829,0.96443,0.2084,0.023905,1.8208,0.59446,1.0509,0.22663,0.047527,1.7983,0.59826,1.0304,0.17946,0.024627,1.8643,0.58721,0.913,0.24472,3
0.020051,1.8361,0.59189,0.93009,0.24303,0.011423,1.9104,0.57982,0.89748,0.19782,0.040984,1.8956,0.568,0.84712,0.21553,0.064289,1.844,0.5906,0.8787,0.18067,0.041206,1.9188,0.57167,0.94255,0.17794,3
0.019104,1.834,0.59224,1.021,0.20707,0.018488,1.8638,0.58726,1.0372,0.21193,0.097974,1.8184,0.55958,0.83978,0.16554,0.057459,1.8105,0.5962,0.93354,0.14708,0.036665,1.8193,0.59472,1.1024,0.15118,3
0.030726,1.9618,0.57207,0.86914,0.19592,0.027899,1.853,0.5542,0.76138,0.13049,0.018332,1.8193,0.59472,1.1073,0.22389,0.058681,1.8142,0.59559,0.96364,0.16306,0.035106,1.9114,0.5724,0.94697,0.23034,3
0.024866,1.8399,0.58414,0.71543,0.19793,0.020561,1.8664,0.56581,0.62371,0.12841,0.036606,1.9277,0.57689,1.113,0.28272,0.058416,1.8081,0.59662,1.0246,0.15014,0.020243,1.8545,0.58881,1.1638,0.28418,3
0.014811,1.8124,0.59588,1.0753,0.21285,0.023978,1.8251,0.51785,0.62884,0.096511,0.026038,1.8577,0.58827,1.1682,0.27088,0.052422,1.8161,0.59527,1.0139,0.17305,0.017736,1.8271,0.59341,0.93101,0.21129,3
0.02008,1.8421,0.59089,1.0495,0.22543,0.02657,1.907,0.57325,0.82274,0.13345,0.022242,1.8548,0.58876,0.86728,0.24506,0.052428,1.8002,0.59793,0.98906,0.16578,0.02195,1.8241,0.59391,1.1011,0.21562,3
0.02659,1.931,0.53609,0.78282,0.18096,0.011054,1.8674,0.58665,0.98244,0.26698,0.022086,1.8822,0.58417,1.2367,0.31287,0.051572,1.83,0.59294,1.0372,0.19539,0.054708,1.9052,0.56673,1.0049,0.12773,3
