C alpha,L alpha,GE alpha,SW alpha,Q alpha,C beta,L beta,GE beta,SW beta,Q beta,C delta,L delta,GE delta,SW delta,Q delta,C gamma,L gamma,GE gamma,SW gamma,Q gamma,C theta,L theta,GE theta,SW theta,Q theta,Class
0.016309,1.8368,0.59178,1.0886,0.236,0.016057,1.8289,0.5931,0.87474,0.18629,0.030218,1.9211,0.57116,0.8773,0.14233,0.060135,1.8213,0.5944,1.0634,0.18004,0.017488,1.8712,0.58605,1.0016,0.22993,1
0.014251,1.8325,0.5925,1.0399,0.23185,0.010334,1.8701,0.57915,1.0289,0.21771,0.02314,1.8743,0.58568,1.0847,0.22483,0.049778,1.8209,0.59446,0.94767,0.18358,0.044332,1.8671,0.5867,1.2326,0.1852,1
0.055882,1.9584,0.55834,0.90676,0.15832,0.016905,1.8653,0.587,1.0372,0.2528,0.027622,1.8403,0.5912,1.0155,0.24492,0.079394,1.8325,0.59251,1.1279,0.21715,0.021862,1.8171,0.59508,1.037,0.21213,1
0.016605,1.864,0.58723,1.012,0.21756,0.012135,1.8528,0.58913,0.73266,0.19433,0.028138,1.8763,0.58517,1.0078,0.25562,0.053363,1.8147,0.5955,1.0062,0.21499,0.051215,1.8477,0.57583,0.8633,0.14273,1
0.017856,1.8485,0.58982,1.1972,0.26806,0.0083086,1.8331,0.5924,1.1672,0.23254,0.031365,1.8708,0.57904,1.1435,0.26586,0.057276,1.8297,0.59299,1.0419,0.20086,0.019199,1.8976,0.58166,0.88247,0.18842,1
0.015488,1.8247,0.59381,1.0992,0.24439,0.0094782,1.8617,0.58762,0.88835,0.22167,0.018201,1.8404,0.59118,1.0121,0.19878,0.053732,1.8065,0.59688,1.0496,0.19579,0.027117,1.8621,0.58753,0.93312,0.1725,1
0.23854,1.7219,0.42935,0.6969,0.09145,0.12584,1.6968,0.43829,1.0801,0.092671,0.097348,1.7728,0.44172,0.68152,0.11069,0.088269,1.855,0.58879,0.87955,0.15098,0.28454,1.7988,0.51487,0.8151,0.092358,1
0.023429,1.8952,0.582,1.0086,0.23147,0.021511,1.8606,0.48154,0.72513,0.17105,0.0227,1.9034,0.58071,0.96658,0.17804,0.049893,1.8193,0.59473,0.92289,0.18416,0.018184,1.8412,0.59105,1.0988,0.26348,1
0.016006,1.8915,0.58277,0.84557,0.21301,0.0093787,1.8193,0.59471,1.077,0.21927,0.057865,1.8095,0.57494,0.76809,0.12283,0.051917,1.8062,0.59692,1.0485,0.16241,0.018339,1.8131,0.59576,1.0805,0.19339,1
0.015744,1.8486,0.5898,1.0951,0.25741,0.012195,1.8367,0.5918,1.1217,0.22357,0.028813,1.9067,0.58016,0.98496,0.19757,0.11241,1.8602,0.58081,0.96691,0.1739,0.088522,2.0224,0.54796,0.81715,0.12003,1
0.031794,1.8655,0.587,1.2274,0.18682,0.011026,1.8652,0.58701,0.87282,0.18329,0.049593,1.8417,0.58392,1.1721,0.21804,0.064676,1.8571,0.58839,1.011,0.21528,0.043469,1.8582,0.58842,1.272,0.17346,1
0.014709,1.8325,0.5925,1.1691,0.28442,0.011773,1.9183,0.57892,1.1251,0.254,0.017847,1.8707,0.58614,1.0854,0.22749,0.058332,1.8304,0.59288,1.1515,0.25108,0.026036,1.8639,0.57316,0.89939,0.2093,1
0.018615,1.9349,0.57556,0.6967,0.1874,0.010878,1.8327,0.59247,0.97598,0.21841,0.053525,1.8217,0.59431,0.87073,0.20353,0.092929,1.8504,0.58955,0.92011,0.14914,0.042335,1.9628,0.55751,0.84186,0.18405,1
0.024212,1.9188,0.57109,0.9865,0.21764,0.010126,1.8528,0.5891,0.9779,0.193,0.018119,1.834,0.59226,1.1759,0.28294,0.050958,1.8088,0.59649,0.99655,0.18341,0.016398,1.8378,0.59161,1.0213,0.19263,1
0.027494,1.9454,0.57391,0.95052,0.17261,0.012546,1.9233,0.57739,0.85425,0.1666,0.027277,1.9292,0.57701,0.90668,0.20446,0.054993,1.8133,0.59574,1.135,0.20529,0.022423,1.8455,0.58322,1.1788,0.27518,1
0.033078,1.9443,0.57402,1.0748,0.29115,0.026244,1.8427,0.51557,0.75006,0.13182,0.024286,1.9683,0.57033,0.98896,0.28982,0.053132,1.8185,0.59487,0.9714,0.15876,0.026692,1.884,0.58388,1.1784,0.35034,1
0.024905,1.8435,0.59066,1.0591,0.23737,0.011551,1.8358,0.59196,0.84717,0.19089,0.067156,1.906,0.54587,0.84827,0.14196,0.067113,1.8177,0.59501,1.0234,0.19476,0.043248,1.8688,0.57938,0.84966,0.17407,1
0.018188,1.9417,0.57439,0.76598,0.19446,0.013184,1.8637,0.58729,0.87424,0.16355,0.023118,1.8584,0.58815,1.0395,0.21338,0.052676,1.8055,0.59705,1.0285,0.1874,0.019257,1.8251,0.59374,1.0176,0.22353,1
0.019169,1.857,0.58839,0.97136,0.22026,0.013543,1.8812,0.5773,0.75278,0.15363,0.019604,1.8681,0.58654,0.86994,0.20726,0.061654,1.8176,0.59502,1.0967,0.22264,0.028847,1.8425,0.59083,1.0295,0.1666,1
0.027365,1.892,0.58261,1.0195,0.19052,0.01592,1.9038,0.58069,1.0234,0.20663,0.052996,1.9338,0.54873,0.95311,0.16665,0.096152,1.9325,0.56986,0.97322,0.17632,0.10255,1.7641,0.41294,1.0445,0.084845,1
0.043398,1.882,0.5497,0.77097,0.10792,0.011023,1.8634,0.58736,0.83657,0.15244,0.082379,1.8077,0.48751,0.68425,0.10988,0.076355,1.8614,0.58767,0.78206,0.14625,0.048812,1.9737,0.53059,0.73101,0.11894,1
0.017291,1.863,0.58738,1.0617,0.24696,0.011182,1.857,0.5884,0.9286,0.23107,0.022092,1.8784,0.5848,0.84147,0.18441,0.056535,1.8293,0.59305,0.98498,0.19427,0.020907,1.8571,0.58837,1.2118,0.28696,1
0.01704,1.8239,0.59395,1.1122,0.2559,0.0091394,1.8122,0.5959,1.0733,0.19405,0.024104,1.8899,0.58287,0.90525,0.18786,0.049514,1.8072,0.59677,1.0245,0.16831,0.023952,1.8983,0.58154,0.99947,0.23204,1
0.11784,1.9823,0.51451,1.0675,0.22865,0.013061,1.9265,0.57706,0.89278,0.17087,0.018826,1.8383,0.59152,0.98421,0.22372,0.056372,1.8146,0.59551,1.0689,0.19854,0.026761,1.8508,0.58947,1.3275,0.28164,1
0.052064,1.9286,0.57,1.0915,0.28253,0.025122,1.8765,0.57815,0.96196,0.1855,0.074036,1.7756,0.454,0.82343,0.10663,0.063571,1.8133,0.59574,1.0499,0.18226,0.073981,1.8496,0.56166,1.0303,0.1104,1
0.019341,1.8797,0.58457,0.95971,0.24174,0.012787,1.8998,0.5744,0.83931,0.1925,0.021315,1.86,0.58789,0.97203,0.27669,0.061721,1.8221,0.59426,1.0694,0.2094,0.024231,1.897,0.5817,0.82347,0.20636,1
0.016937,1.8345,0.59217,1.1141,0.26849,0.0099823,1.8464,0.59017,0.95165,0.21599,0.014671,1.8319,0.5926,0.96237,0.23258,0.058925,1.8136,0.5957,1.0947,0.21496,0.046874,2.0106,0.52637,1.025,0.19504,2
0.024287,1.8736,0.58561,0.85445,0.19812,0.0092041,1.804,0.59728,1.1233,0.21662,0.035415,1.8447,0.58334,0.98134,0.1783,0.059682,1.8196,0.59469,0.97863,0.17518,0.022176,1.8417,0.59096,1.0079,0.22796,2
0.040804,1.8863,0.52233,0.83305,0.13586,0.01455,1.8483,0.58989,0.57858,0.13654,0.026001,1.9041,0.57353,1.0305,0.19248,0.06321,1.8575,0.58833,0.97404,0.19573,0.017774,1.8797,0.58461,1.0439,0.2489,2
0.037306,1.9824,0.56147,0.89575,0.22021,0.01627,1.8809,0.58438,0.95635,0.23815,0.02552,1.8786,0.58484,1.1288,0.2748,0.084543,1.9138,0.5587,0.77791,0.14192,0.016829,1.8293,0.59304,1.1024,0.23763,2
0.019003,1.8857,0.58357,0.98725,0.22859,0.018095,1.8501,0.58955,0.84965,0.1993,0.023419,1.848,0.58991,1.1256,0.28077,0.060177,1.8095,0.59637,1.1441,0.19741,0.047486,2.0184,0.55571,0.95515,0.12695,2
0.018874,1.8279,0.59327,0.96674,0.1726,0.0094329,1.8719,0.58602,0.88799,0.1689,0.028104,1.9125,0.57972,0.83577,0.16836,0.05396,1.8233,0.59406,1.0654,0.1906,0.032127,1.9158,0.56485,0.81607,0.15625,2
0.028652,1.921,0.57097,1.0867,0.28322,0.012473,1.8685,0.58649,1.0331,0.19988,0.020671,1.8625,0.58749,0.99767,0.23427,0.079167,1.8338,0.5923,1.1469,0.20393,0.036342,1.9755,0.56908,1.1522,0.2646,2
