C alpha,L alpha,GE alpha,SW alpha,Q alpha,C beta,L beta,GE beta,SW beta,Q beta,C delta,L delta,GE delta,SW delta,Q delta,C gamma,L gamma,GE gamma,SW gamma,Q gamma,C theta,L theta,GE theta,SW theta,Q theta,Class
0.015621,1.9805,0.55102,1.0826,0.27373,0.014259,1.9669,0.55338,0.84031,0.22323,0.025283,2.0177,0.4993,0.81541,0.14997,0.05333,1.9534,0.55558,1.0719,0.22224,0.016182,2.0448,0.53378,0.94388,0.26127,1
0.01288,1.9924,0.54902,1.0353,0.28082,0.0091458,2.036,0.53552,1.0044,0.25804,0.021682,1.9948,0.53528,1.0723,0.25424,0.042431,1.967,0.55329,0.92526,0.22469,0.04882,2.018,0.5383,1.2326,0.19553,1
0.055675,2.0848,0.4727,0.85222,0.16325,0.015193,2.0323,0.54241,0.97996,0.29224,0.024669,1.9943,0.54871,0.99694,0.28198,0.070517,1.9614,0.55423,1.1664,0.25876,0.020099,1.9677,0.55315,1.0357,0.26563,1
0.014323,2.0248,0.54403,0.99555,0.25282,0.0099736,1.9652,0.53339,0.64099,0.21581,0.024942,2.0181,0.5382,1.0076,0.28383,0.046161,1.943,0.55732,1.015,0.24129,0.050729,1.9625,0.51408,0.78205,0.14133,1
0.017136,2.0114,0.54597,1.1829,0.31465,0.0077599,1.9798,0.55119,1.2328,0.2848,0.029932,2.055,0.51929,1.0955,0.29089,0.047126,1.9681,0.5531,0.96592,0.21596,0.018371,2.069,0.53012,0.85372,0.22085,1
0.014173,1.9519,0.55582,1.0973,0.27808,0.008197,2.0443,0.54098,0.82045,0.26017,0.016655,2.0068,0.53996,0.95598,0.22521,0.046193,1.9302,0.55945,1.0614,0.23812,0.025043,2.016,0.54563,0.90241,0.19656,1
0.19745,1.7911,0.37024,0.61269,0.11592,0.11717,1.7265,0.35423,1.0446,0.10685,0.074863,1.8549,0.38063,0.58428,0.12711,0.083442,1.9883,0.54332,0.85341,0.16433,0.21189,1.811,0.38529,0.71172,0.1125,1
0.022067,2.0843,0.52774,0.95173,0.27427,0.017778,1.8916,0.41117,0.64819,0.19273,0.022683,2.0379,0.52854,1.0035,0.20422,0.039212,1.9545,0.55538,0.878,0.21776,0.016871,2.0152,0.54556,1.1174,0.30973,1
0.013657,2.0458,0.5405,0.79107,0.25266,0.0082452,1.9365,0.55838,1.0841,0.22603,0.057074,1.8621,0.52244,0.68851,0.14044,0.042864,1.9125,0.56242,1.0488,0.18835,0.017881,1.9472,0.55671,1.0849,0.21727,1
0.014545,2.0226,0.54405,1.0774,0.28582,0.011106,1.9846,0.55057,1.101,0.24852,0.026974,2.0913,0.52713,0.95891,0.20863,0.10337,2.0228,0.51804,0.88758,0.19457,0.094648,2.2224,0.41345,0.65983,0.10697,1
0.033852,1.988,0.54305,1.2489,0.21933,0.0095776,2.0269,0.54332,0.80578,0.23125,0.050571,1.974,0.53439,1.1332,0.24032,0.057088,2.0048,0.54724,0.98772,0.24512,0.048587,1.999,0.53554,1.3233,0.19156,1
0.013952,1.9724,0.55235,1.164,0.31497,0.01113,2.0742,0.52919,1.1156,0.27796,0.016885,2.0661,0.5381,1.1296,0.25439,0.053403,1.9709,0.55263,1.2256,0.29854,0.023939,2.0139,0.52593,0.8398,0.23445,1
0.014753,2.1259,0.51638,0.56596,0.21675,0.0099282,1.9768,0.55166,0.95999,0.25251,0.047673,1.9463,0.55728,0.77561,0.22162,0.083485,1.9653,0.54684,0.91508,0.16608,0.037435,2.0754,0.47863,0.81923,0.1976,1
0.021191,2.1004,0.51248,0.93761,0.25896,0.0090495,2.0061,0.54004,0.92143,0.22474,0.016326,1.9798,0.55115,1.2284,0.30238,0.041063,1.9088,0.55608,0.98098,0.21142,0.015449,1.9995,0.54785,0.96482,0.22556,1
0.027579,2.1838,0.52032,0.96218,0.22933,0.011287,2.0546,0.51295,0.85301,0.19863,0.02451,2.1071,0.51905,0.79385,0.24095,0.047119,1.9319,0.55919,1.1983,0.25917,0.022553,1.9967,0.53487,1.2437,0.32178,1
0.030448,2.1025,0.51228,1.1074,0.32342,0.024677,1.9234,0.44434,0.64971,0.14455,0.02158,2.1468,0.50572,0.98805,0.3323,0.046739,1.9463,0.55675,0.97745,0.19069,0.024535,2.1303,0.52741,1.1055,0.39295,1
0.023431,2.0008,0.54766,1.0381,0.2755,0.0093524,1.9932,0.54893,0.72924,0.21893,0.060233,2.1022,0.48126,0.75429,0.14231,0.056645,1.9496,0.55621,1.0121,0.22605,0.036068,2.023,0.52462,0.79953,0.20163,1
0.015901,2.1286,0.52081,0.68175,0.21465,0.011517,2.0473,0.54051,0.72135,0.17966,0.021487,2.0093,0.54622,1.0397,0.23734,0.041634,1.9157,0.56188,0.99535,0.19903,0.017687,1.9736,0.55221,1.0372,0.27719,1
0.015903,2.0194,0.5447,0.92429,0.25435,0.011073,2.033,0.52925,0.63453,0.17583,0.017346,2.0251,0.53748,0.79056,0.23932,0.057432,1.9286,0.55973,1.1355,0.27204,0.029542,1.9783,0.54482,1.0137,0.18944,1
0.028452,2.0518,0.52645,1.0582,0.21275,0.014947,2.0621,0.52483,0.98296,0.22924,0.046898,2.035,0.46024,0.86395,0.17149,0.08522,2.0228,0.49827,0.95496,0.1958,0.093459,1.7177,0.30714,1.0097,0.091211,1
0.039163,1.9713,0.46789,0.7069,0.13291,0.010164,2.042,0.54189,0.75833,0.17469,0.075312,1.9193,0.44393,0.66037,0.12545,0.06638,2.0319,0.53595,0.65843,0.16585,0.044834,2.035,0.4599,0.66015,0.11939,1
0.015916,2.0369,0.5418,1.0972,0.28343,0.0096709,2.0219,0.54449,0.8825,0.25248,0.020253,2.0373,0.53524,0.80437,0.20291,0.044807,1.9672,0.55325,0.91914,0.21852,0.019705,2.0267,0.5433,1.2538,0.32832,1
0.016008,1.9713,0.55256,1.1067,0.28813,0.0078887,1.9231,0.56063,1.0611,0.22857,0.022125,2.0539,0.53247,0.83881,0.18243,0.040798,1.9252,0.56029,1.0103,0.20189,0.02398,2.0892,0.52089,1.0226,0.2505,1
0.11235,2.042,0.4284,1.0793,0.2687,0.011425,2.128,0.51625,0.83648,0.19922,0.017133,1.9889,0.54964,0.96577,0.26541,0.046092,1.9429,0.55736,1.0158,0.2314,0.028476,2.0248,0.54393,1.3631,0.30308,1
0.046342,2.1187,0.49858,1.1581,0.33935,0.02366,2.0197,0.51817,1.0112,0.20947,0.06629,1.8348,0.38842,0.73698,0.11684,0.055002,1.9515,0.55593,1.0234,0.21619,0.078224,1.9386,0.48511,0.97272,0.1099,1
0.01653,2.0361,0.53514,0.90124,0.27166,0.010614,2.0675,0.53091,0.80232,0.22984,0.018467,2.031,0.54277,0.93838,0.30704,0.053197,1.949,0.55642,1.0823,0.24665,0.022222,2.1039,0.53121,0.82668,0.23958,1
0.015636,1.9911,0.54921,1.1136,0.30746,0.0089491,2.0112,0.53913,0.89018,0.2432,0.012937,1.9855,0.55016,0.90679,0.26418,0.050758,1.9417,0.55755,1.1225,0.24333,0.050391,2.0768,0.44409,1.0602,0.18921,2
0.020581,2.0204,0.53775,0.83185,0.24683,0.0090051,1.9219,0.56083,1.1573,0.25023,0.03495,1.9675,0.53969,0.94588,0.19808,0.050568,1.9402,0.55788,0.9686,0.19686,0.019353,1.9868,0.54999,1.0384,0.2675,2
0.037212,1.9555,0.43335,0.83322,0.14894,0.011858,1.956,0.54158,0.44546,0.13842,0.024374,2.0874,0.51415,0.99647,0.22562,0.056495,2.0139,0.53888,0.90191,0.21804,0.016508,2.0488,0.54006,1.0367,0.28728,2
0.033882,2.1136,0.46832,0.84667,0.25468,0.016095,2.0587,0.53824,0.89144,0.26721,0.024072,2.0497,0.53385,1.1659,0.30149,0.072476,2.0753,0.498,0.66186,0.14748,0.015744,1.9837,0.55047,1.1312,0.25669,2
0.016882,2.0589,0.53825,0.95606,0.25827,0.016865,1.9585,0.54105,0.79012,0.22758,0.021055,2.0043,0.54718,1.1351,0.31793,0.055306,1.9207,0.56106,1.2511,0.23264,0.050046,2.236,0.44167,0.81949,0.11211,2
0.016468,1.9789,0.55129,0.91881,0.20294,0.0074022,2.0081,0.54002,0.78416,0.18687,0.025687,2.1121,0.53138,0.80263,0.19109,0.045966,1.9449,0.55702,1.0495,0.21847,0.02561,2.0429,0.48916,0.71337,0.17185,2
0.025042,2.124,0.51578,0.97769,0.30911,0.010067,2.0235,0.54439,0.95122,0.2381,0.017733,2.0175,0.54496,0.97753,0.26124,0.076936,2.0015,0.54756,1.0778,0.21078,0.035564,2.1692,0.50984,1.0786,0.28562,2
0.021613,1.9893,0.54311,0.89545,0.21454,0.00738,2.0087,0.53968,0.9165,0.26942,0.020576,1.9792,0.55138,0.84901,0.24854,0.042487,1.9716,0.54588,0.81716,0.20766,0.02088,2.0408,0.51528,0.91372,0.18908,2
0.021517,2.0129,0.54563,0.93244,0.23698,0.013402,2.0185,0.54479,1.0231,0.32246,0.07016,2.0593,0.53846,1.0004,0.22475,0.063293,1.9454,0.55691,1.0487,0.24061,0.027648,1.9627,0.55399,1.0764,0.26369,2
