no_of_leaves alpha,L alpha,GE alpha,avgECC alpha,radius alpha,diameter alpha,no_of_leaves beta,L beta,GE beta,avgECC beta,radius beta,diameter beta,no_of_leaves delta,L delta,GE delta,avgECC delta,radius delta,diameter delta,no_of_leaves gamma,L gamma,GE gamma,avgECC gamma,radius gamma,diameter gamma,no_of_leaves theta,L theta,GE theta,avgECC theta,radius theta,diameter theta,Class
91,8.5352,0.162,15.959,11,21,93,6.4249,0.19423,11.412,8,15,93,7.7646,0.17586,15.405,11,21,97,6.2258,0.19783,9.6959,6,12,89,6.9363,0.19021,13.608,9,17,2
91,7.1799,0.19556,15.149,10,20,105,6.8907,0.19927,13.385,9,17,82,9.5769,0.15177,20.014,13,26,86,8.5657,0.16145,15.304,10,20,101,5.8724,0.20824,10.615,7,13,2
86,7.9785,0.17258,15.007,10,20,74,7.4072,0.16929,13.392,9,17,90,7.2316,0.18098,12.318,8,16,79,9.8722,0.14449,19.068,13,25,103,7.2295,0.18967,14.27,9,18,2
100,6.9937,0.18901,13.358,9,18,89,7.1745,0.18285,12.128,8,16,86,7.1292,0.17846,13.345,9,18,88,7.0413,0.19783,15.459,11,21,87,5.7342,0.22291,11.581,8,15,2
95,5.1184,0.23437,8.723,6,12,88,8.9323,0.15793,17.142,11,22,102,8.4257,0.17451,17.595,12,23,77,8.0822,0.16315,16.554,11,22,94,5.9382,0.21647,11.338,8,15,2
77,7.6045,0.17706,16.601,11,21,92,8.029,0.16464,14.547,10,19,91,6.9854,0.18351,12.27,8,16,85,8.9278,0.15959,16.426,11,22,85,9.8867,0.15118,18.912,12,24,2
95,7.2065,0.1848,13.993,10,19,81,9.9751,0.14712,21.088,15,29,92,6.2013,0.20739,12.122,9,17,84,10.243,0.14649,19.318,12,24,90,8.2658,0.16468,15.662,11,21,2
93,8.2067,0.16725,15.446,10,20,116,5.967,0.22749,12.182,8,16,92,6.8277,0.19354,13.027,9,17,73,8.4515,0.15512,15.277,10,20,86,7.0055,0.18406,13.649,9,18,2
97,6.4627,0.19858,12.568,9,17,81,9.8716,0.15188,20.257,13,26,86,8.7118,0.16012,16.581,10,20,81,5.6802,0.21524,10.865,8,15,92,7.3384,0.182,14.466,10,19,2
79,9.8476,0.14448,17.588,11,22,88,7.6859,0.17107,14.473,9,18,95,6.5037,0.19907,13.318,9,17,77,10.182,0.14216,19.209,13,25,79,9.2747,0.15162,16.554,11,21,2
