C alpha,L alpha,GE alpha,SW alpha,Q alpha,C beta,L beta,GE beta,SW beta,Q beta,C delta,L delta,GE delta,SW delta,Q delta,C gamma,L gamma,GE gamma,SW gamma,Q gamma,C theta,L theta,GE theta,SW theta,Q theta,Class
0.012783,2.6744,0.36864,1.1828,0.3954,0.0080618,2.5949,0.33847,0.74783,0.29181,0.01136,2.4847,0.2665,0.65404,0.23473,0.02663,2.7042,0.36885,1.127,0.34532,0.01045,2.6961,0.30102,0.92876,0.35151,1
0.0082151,2.7518,0.33892,1.0781,0.44547,0.0065377,2.9194,0.31493,1.128,0.37573,0.021264,2.6775,0.28367,1.1419,0.31356,0.018923,2.8261,0.3675,0.85885,0.37951,0.050012,2.4589,0.20911,1.0182,0.15159,1
0.035651,2.1639,0.20578,0.67161,0.23007,0.008556,3.1171,0.32822,0.84143,0.39056,0.0089442,2.8206,0.34252,0.62553,0.44261,0.034557,2.7915,0.35881,1.107,0.40659,0.015375,2.835,0.34316,0.94249,0.40106,1
0.010379,2.7451,0.33667,1.1535,0.37957,0.0043083,2.664,0.33075,0.29808,0.28774,0.011633,2.7899,0.34168,0.87463,0.43252,0.031515,2.71,0.39207,1.2347,0.39316,0.027934,2.1566,0.22231,0.47569,0.17936,1
0.0096124,2.9209,0.33565,1.3095,0.45667,0.0052551,2.7776,0.36543,1.4982,0.45731,0.016701,2.6589,0.22111,0.83328,0.37583,0.027822,2.8464,0.35733,1.105,0.37253,0.0095025,2.6735,0.30058,0.65296,0.31432,1
0.011332,2.795,0.38309,1.1657,0.41901,0.0041808,2.8697,0.31057,0.73651,0.3647,0.0094701,2.8242,0.33046,0.68366,0.31378,0.021891,2.7414,0.3836,1.062,0.36466,0.011726,2.5255,0.30686,0.66958,0.29438,1
0.086371,1.8871,0.12993,0.44734,0.14096,0.068037,1.7252,0.12565,0.89575,0.12268,0.047685,2.1187,0.19576,0.52512,0.23922,0.068994,2.4217,0.3196,0.60518,0.22634,0.080456,2.0047,0.16687,0.4552,0.1539,1
0.016493,3.0492,0.26112,0.77756,0.38386,0.0075911,2.3802,0.20835,0.39555,0.28098,0.009825,2.6791,0.30773,0.78543,0.31908,0.015721,2.8678,0.36729,0.71001,0.35613,0.010533,2.8708,0.33591,1.2604,0.45936,1
0.0065046,2.8505,0.2973,0.76549,0.41049,0.0053057,2.7369,0.39414,0.99269,0.38209,0.035229,2.0419,0.2867,0.51041,0.19814,0.020517,2.7576,0.38788,1.0706,0.33691,0.012438,2.612,0.35906,1.0839,0.33327,1
0.012767,2.8119,0.30014,1.3209,0.41325,0.0086661,2.8312,0.31076,0.88467,0.34974,0.015011,2.7175,0.22913,0.80616,0.31305,0.04634,2.2823,0.23013,0.58784,0.26013,0.083248,1.6882,0.10457,0.88392,0.085417,1
0.030665,2.4911,0.28982,1.1693,0.26099,0.0035865,2.6834,0.2845,0.45007,0.34368,0.04198,2.1936,0.26904,1.0488,0.31415,0.02383,2.72,0.35853,0.72263,0.39559,0.039193,2.3602,0.23462,1.0053,0.21839,1
0.0063173,2.9735,0.33142,0.80751,0.44829,0.0085969,3.1888,0.25774,0.87979,0.3629,0.010437,2.5828,0.28618,1.1613,0.3599,0.038198,2.9175,0.36748,1.7425,0.47747,0.010713,2.6757,0.27151,0.44383,0.29528,1
0.0040264,2.8719,0.24368,0.18784,0.27235,0.0055049,2.8577,0.36613,0.83441,0.42527,0.013964,2.6133,0.29152,0.24713,0.2835,0.056329,2.6432,0.35335,0.80835,0.27036,0.018566,2.445,0.22009,0.66072,0.25102,1
0.01435,2.8236,0.25853,1.1092,0.37894,0.0037964,2.7287,0.29837,0.70594,0.34447,0.0096438,2.848,0.36412,1.2469,0.42676,0.017973,2.6304,0.38004,0.98245,0.33924,0.013013,2.7243,0.32053,1.0318,0.32421,1
0.015459,2.6728,0.22482,0.74008,0.31345,0.0057572,2.7819,0.2835,0.72934,0.31989,0.015252,2.4993,0.23789,0.79202,0.30735,0.033771,2.7547,0.39145,1.7523,0.40979,0.015897,2.9436,0.31987,1.3633,0.47632,1
0.015009,2.9457,0.26819,0.74863,0.38891,0.013774,2.1483,0.24907,0.56709,0.24525,0.010225,2.8853,0.2936,0.99906,0.47236,0.018589,2.7203,0.39075,0.79641,0.34202,0.010632,2.9883,0.27145,0.72961,0.4874,1
0.01081,2.7765,0.30752,0.71408,0.43562,0.0027514,3.0259,0.32436,0.28146,0.33686,0.037533,2.38,0.1978,0.61742,0.18363,0.028026,2.6846,0.36023,1.0504,0.35155,0.019159,2.4586,0.24331,0.66767,0.3018,1
0.011646,2.9247,0.22998,0.67253,0.3129,0.0049351,2.697,0.2568,0.37669,0.22029,0.013281,2.7091,0.33724,0.95794,0.33848,0.015235,2.7383,0.39863,0.81345,0.349,0.0098606,2.8732,0.36196,0.90084,0.42514,1
0.0057393,2.6366,0.31314,0.61659,0.38003,0.0037942,2.7317,0.29888,0.39276,0.29707,0.0073807,2.6729,0.29462,0.45435,0.30381,0.039092,2.6833,0.38067,1.3044,0.42187,0.017675,2.649,0.23552,0.6047,0.23124,1
0.028979,2.5162,0.2805,1.1327,0.26863,0.0094204,2.7421,0.25313,0.68937,0.28196,0.03575,2.2152,0.19041,0.74199,0.19204,0.042294,2.5411,0.27771,0.61156,0.28844,0.062874,1.8166,0.11928,0.81154,0.13689,1
0.030921,2.0974,0.24416,0.61016,0.19871,0.0044496,2.4639,0.3019,0.44717,0.28703,0.03008,2.3563,0.23162,0.45028,0.26301,0.02165,2.5559,0.23842,0.28713,0.19932,0.011953,2.1268,0.16471,0.27302,0.13886,1
0.01071,2.942,0.31638,1.1673,0.43035,0.0062261,2.8954,0.32272,0.86197,0.3719,0.016532,2.8455,0.28127,0.66746,0.29312,0.019927,2.8287,0.35209,0.8746,0.38885,0.013982,3.1346,0.31519,1.1386,0.45453,1
0.0099329,2.9427,0.36278,1.0653,0.4114,0.0055896,2.6795,0.38595,1.2554,0.40584,0.013253,2.521,0.21773,0.65447,0.24231,0.018059,2.7736,0.3862,0.93989,0.31012,0.021252,2.7521,0.25044,0.93677,0.29558,1
0.074421,2.7206,0.17248,0.86921,0.34691,0.0054901,2.5185,0.24115,0.73708,0.32231,0.010038,2.7387,0.3746,0.9094,0.40373,0.023126,2.7338,0.38144,0.80829,0.3753,0.030814,3.0756,0.31614,1.2172,0.3081,1
0.031682,3.0017,0.26796,1.3009,0.52693,0.015499,2.5866,0.29605,0.89738,0.31463,0.029489,1.9952,0.16395,0.46085,0.17494,0.020324,2.7477,0.36977,0.73901,0.30692,0.093169,2.0423,0.27163,0.96408,0.18848,1
0.010906,2.952,0.30399,0.77095,0.40821,0.0055757,2.8397,0.33388,0.61552,0.35885,0.0076552,2.8381,0.30777,0.58143,0.40717,0.036389,2.7327,0.38094,1.2913,0.40415,0.0083067,2.76,0.25299,0.53877,0.38141,1
0.01004,2.7238,0.34811,1.0294,0.4487,0.006184,2.6136,0.25942,0.53831,0.33078,0.0085921,2.9002,0.35984,0.87371,0.41137,0.022507,2.826,0.3566,1.1934,0.38847,0.064667,2.1743,0.14974,1.1788,0.12642,2
0.0086683,2.8536,0.31008,0.63884,0.4107,0.0071799,2.7739,0.39282,1.3939,0.41497,0.031326,2.5165,0.32091,0.93607,0.28764,0.023259,2.7099,0.37233,0.81084,0.34105,0.014028,2.8102,0.34397,1.1889,0.43471,2
0.016908,2.1543,0.18194,0.62444,0.22082,0.0030379,2.4147,0.30793,0.14264,0.2203,0.012477,2.9627,0.2657,0.68605,0.30484,0.02901,2.8448,0.31572,0.63408,0.3187,0.0095011,2.865,0.33142,1.1247,0.44111,2
0.018019,2.632,0.19102,0.69488,0.35669,0.0067264,2.7337,0.25082,0.43503,0.32252,0.01449,2.8043,0.31778,1.0264,0.42185,0.012708,2.3325,0.2112,0.19906,0.21552,0.013964,2.7895,0.3364,1.6149,0.43849,2
0.007483,2.8515,0.28068,0.51725,0.29052,0.0077343,2.5768,0.32957,0.48154,0.34799,0.012587,2.8409,0.33159,1.1339,0.47345,0.043998,2.7335,0.37967,1.9426,0.4023,0.033281,1.7523,0.10888,0.88603,0.092799,2
