C alpha,L alpha,GE alpha,SW alpha,Q alpha,C beta,L beta,GE beta,SW beta,Q beta,C delta,L delta,GE delta,SW delta,Q delta,C gamma,L gamma,GE gamma,SW gamma,Q gamma,C theta,L theta,GE theta,SW theta,Q theta,Class
0.014664,2.2241,0.49514,1.1245,0.31407,0.012415,2.1984,0.48718,0.80481,0.26841,0.018861,2.2391,0.41113,0.71624,0.18313,0.042022,2.21,0.49703,1.1262,0.27032,0.01337,2.3164,0.45254,0.92879,0.31073,1
0.011361,2.2836,0.48613,1.0949,0.34648,0.0087753,2.2814,0.45585,1.1421,0.29796,0.021405,2.2426,0.45547,1.1418,0.29428,0.031541,2.2276,0.49397,0.84552,0.28364,0.052055,2.3135,0.45961,1.1775,0.18268,1
0.050782,2.1778,0.3592,0.82791,0.19428,0.012653,2.3483,0.47661,0.91374,0.32934,0.020654,2.2861,0.48509,1.0373,0.35148,0.06201,2.2239,0.48803,1.3384,0.30388,0.020064,2.2516,0.49016,1.0422,0.30957,1
0.01242,2.2759,0.46919,0.98561,0.29269,0.008687,2.1777,0.47049,0.52761,0.24639,0.01954,2.277,0.47463,1.0027,0.32808,0.041379,2.1766,0.50172,1.1401,0.29258,0.040599,2.0779,0.39582,0.62324,0.16355,1
0.01452,2.2682,0.48213,1.2838,0.35404,0.0078629,2.2278,0.48772,1.5569,0.33074,0.029185,2.3149,0.40168,1.1144,0.32113,0.039434,2.2442,0.49186,1.0042,0.2646,0.01649,2.375,0.46312,0.83264,0.2505,1
0.013354,2.1975,0.49312,1.1194,0.32096,0.0073305,2.3685,0.47496,0.86851,0.3123,0.014927,2.2835,0.46902,0.90148,0.26084,0.035776,2.1819,0.50148,1.0756,0.26912,0.020767,2.235,0.45848,0.85621,0.24244,1
0.15214,1.9135,0.27488,0.56493,0.13432,0.1046,1.7489,0.24908,0.97149,0.1093,0.057027,1.9378,0.30235,0.48323,0.1723,0.07949,2.1898,0.48253,0.74842,0.18821,0.15613,1.8501,0.27013,0.58288,0.12562,1
0.019596,2.49,0.44402,0.83121,0.32155,0.01067,2.0894,0.32975,0.46812,0.22134,0.017765,2.2726,0.45239,0.87861,0.23811,0.02699,2.2289,0.49361,0.80427,0.27655,0.014624,2.2814,0.48073,1.1393,0.35798,1
0.010613,2.3159,0.45813,0.78679,0.31486,0.0075411,2.1717,0.50241,1.1567,0.28858,0.048081,1.9373,0.46851,0.56954,0.16649,0.032214,2.1522,0.49927,1.029,0.23424,0.016213,2.1715,0.49651,1.0681,0.26198,1
0.014328,2.3696,0.47553,1.1521,0.34604,0.010307,2.2188,0.47047,1.0693,0.28775,0.022996,2.2721,0.40602,0.88241,0.26043,0.08331,2.2091,0.42528,0.76291,0.21834,0.089517,1.7793,0.23351,0.80395,0.093238,1
