C alpha,L alpha,GE alpha,SW alpha,Q alpha,C beta,L beta,GE beta,SW beta,Q beta,C delta,L delta,GE delta,SW delta,Q delta,C gamma,L gamma,GE gamma,SW gamma,Q gamma,C theta,L theta,GE theta,SW theta,Q theta,Class
0.060998,1.7184,0.64499,1.0307,0.21686,0.026785,1.7067,0.64696,1.0071,0.15308,0.087875,1.6956,0.56999,0.9364,0.081785,0.077589,1.6896,0.64981,1.0312,0.14029,0.071715,1.7051,0.64722,1.0739,0.10361,1
0.022248,1.6924,0.64935,1.0118,0.19304,0.015011,1.7109,0.64625,0.90858,0.15555,0.02539,1.6898,0.64979,1.0398,0.22812,0.073597,1.6891,0.64989,1.0379,0.15319,0.030325,1.6999,0.6481,0.91627,0.16922,1
0.01867,1.6901,0.64974,1.0827,0.2114,0.011557,1.6914,0.64951,1.0303,0.18506,0.017471,1.6891,0.64991,1.0112,0.19333,0.073637,1.69,0.64974,1.0703,0.16633,0.047968,1.7604,0.62357,1.0524,0.18304,2
0.030072,1.6977,0.64846,0.95022,0.16294,0.01054,1.6886,0.64999,1.0948,0.16755,0.035796,1.7049,0.64725,1.0364,0.15004,0.075297,1.6924,0.64934,0.98798,0.13298,0.026708,1.6969,0.6486,1.0284,0.18298,2
0.046035,1.7495,0.63253,0.97571,0.11114,0.018177,1.6911,0.64958,0.79339,0.11157,0.02728,1.7016,0.64781,1.0558,0.17311,0.077054,1.6929,0.64925,1.0131,0.16226,0.02046,1.6969,0.6486,1.0465,0.20746,2
0.041412,1.7393,0.6415,0.97027,0.18712,0.017389,1.6989,0.64826,1.0393,0.18772,0.026737,1.7046,0.64731,1.1231,0.23212,0.10552,1.7136,0.64578,0.91002,0.11893,0.019418,1.6904,0.64968,1.0782,0.18374,2
0.021717,1.6956,0.64881,1.021,0.18313,0.020865,1.6928,0.64929,0.94161,0.15445,0.026722,1.6911,0.64958,1.0899,0.22396,0.071725,1.6898,0.64977,1.0815,0.15169,0.043749,1.7151,0.64555,1.1146,0.12737,2
0.022284,1.6906,0.64965,1.0059,0.13564,0.011617,1.6973,0.64853,0.934,0.12968,0.032535,1.7007,0.64796,0.97975,0.14294,0.068639,1.69,0.64974,1.0279,0.13408,0.03542,1.7063,0.64702,0.92692,0.13667,2
0.032255,1.7101,0.64637,1.1032,0.22522,0.014815,1.6981,0.6484,1.0411,0.16104,0.024071,1.6975,0.64849,1.028,0.18576,0.087787,1.69,0.64974,1.102,0.16996,0.035412,1.7201,0.6447,1.1515,0.21489,2
0.025783,1.7005,0.648,0.99379,0.15154,0.010736,1.6977,0.64846,0.94892,0.18377,0.027015,1.6934,0.64918,1.0197,0.16341,0.070097,1.7016,0.64779,0.96475,0.14387,0.024981,1.7,0.64807,1.0114,0.14999,2
